Cartridge | Avitas Ultra: Starfields,Avitas,89.9%,0%,$24,.5g,Bridge City - SE
Cartridge | Avitas: ACDC,Unknown Brand,12.4%,60.2%,$24,½ g,Bridge City - SE
Cartridge | Avitas: Blue City Diesel,Avitas,76.1%,0%,$24,½ g,Bridge City - SE
Cartridge | Avitas: Dragon OG,Avitas,0%,0%,$24,½ g,Bridge City - SE
Cartridge | Avitas: Oregon Pinot,Avitas,78%,0%,$24,.5g,Bridge City - SE
Cartridge | Buddies: Mango Haze,Buddies Brand,87.2%,2.43%,$25,½ g,Bridge City - SE
Cartridge | Buddies: Super Sour Diesel,Buddies Brand,85.2%,0%,$25,½ g,Bridge City - SE
Cartridge | Buddies Purple Hindu Kush,Buddies Brand,80.51%,0.6%,$25,½ g,Bridge City - SE
Cartridge | Buddies: Disco Funk,Buddies Brand,93%,0%,$28,½ g,Bridge City - SE
Cartridge | Buddies: Disco Funk Live Resin,Buddies Brand,75%,0.26%,$28,½ g,Bridge City - SE
Cartridge | Buddies: Dogwalker Kookies Liv...,Buddies Brand,74.6%,0.26%,$25,½ g,Bridge City - SE
Cartridge | Buddies: Grape Pie,Buddies Brand,92.4%,0%,$40,1 g,Bridge City - SE
Cartridge | EVOLVD: Hawaiian Diesel,EVOLVD,83.21%,0.15%,$35,½ g,Bridge City - SE
Cartridge | Evolvd; Marmalade,EVOLVD,88.92%,0.23%,$35,½ g,Bridge City - SE
Cartridge | Evolvd; Peaches & Cream,EVOLVD,73.37%,8.49%,$35,½ g,Bridge City - SE
Cartridge | Evolvd; Sweet Tooth,EVOLVD,72.97%,10.62%,,,Bridge City - SE
Cartridge | Buddies: Venom,Buddies Brand,46.7%,43.4%,$28,½ g,Bridge City - SE
Cartridge | Evolvd: G.G#4 (Distillate),EVOLVD,90.23%,0%,$28,½ g,Bridge City - SE
Willamette Valley Alchemy | Sour Tangie,Willamette Valley Alchemy,72.62%,0%,$20,1 g,Bridge City - SE
Tinctures | Sky Blend (High THC),Luminous Botanicals,0%,0%,$5,0.8 ml,Bridge City - SE
Topical | Dew Senusal Spray (1:1),Luminous Botanicals,125%,125%,$30,each,Bridge City - SE
Topical | Dew Senusal Spray (High THC),Luminous Botanicals,225%,25%,$30,10 ml,Bridge City - SE
Willamette Valley Alchemy | Sah-moas,Willamette Valley Alchemy,71.3%,0%,$20,1 g,Bridge City - SE
Select Elite Weekender - J1 0.3g Disposabl...,Select Oil & CBD,92.4%,0%,$25,0.3 g,Bridge City - SE
Select Elite Weekender - Quantum Kush 0.3g...,Select Oil & CBD,92.1%,0%,$25,0.3 g,Bridge City - SE
Select Elite Weekender - Star Killer 0.3g ...,Select Oil & CBD,92.7%,0%,$25,0.3 g,Bridge City - SE
Tinctures | Earth Blend (High CBD),Luminous Botanicals,0%,0%,$5,0.8 ml,Bridge City - SE
Tinctures | Meadow Blend (1:1),Luminous Botanicals,0%,0%,$5,0.8 ml,Bridge City - SE
Pax Era Pod | Gelato .5g,Unknown Brand,0%,0%,$35,½ g,Bridge City - SE
Pax Era Pod | Headbanger,PAX,76%,0%,$40,½ g,Bridge City - SE
Pax Era Pod | Mimosa,PAX,62.7%,0%,$40,½ g,Bridge City - SE
Pax Era Pod | The Grape Gatsby,PAX,64%,0%,$40,½ g,Bridge City - SE
Pax Era Pod | Willamette Valley Alchemy | ...,PAX,66.38%,0%,$45,½ g,Bridge City - SE
Pax Era Pod | Willamette Valley Alchemy | ...,PAX,69.8%,0%,$45,½ g,Bridge City - SE
Oregon Genetics | Cinex X Jet Fuel Live Re...,OG Cannabis ,70.5%,0.25%,$24,1 g,Bridge City - SE
Oregon Genetics | Super Sour Diesel Live R...,Unknown Brand,0%,0%,$24,1 g,Bridge City - SE
Pax Era Pod | Alien Rift Sauce +| .5g,PAX,59.7%,0%,$40,½ g,Bridge City - SE
Pax Era Pod | Buddies: Mint G.S.C.,Buddies Brand,68.6%,0%,$30,½ g,Bridge City - SE
Pax Era Pod | Buddies: Northern Lights x A...,Buddies Brand,69.1%,0%,$32,½ g,Bridge City - SE
FECO (RSO) High THC,GENESIS PHARMS,0%,0%,$30,1 g,Bridge City - SE
Mana Extracts | Blue Magoo Pull & Snap,Mana Extracts,67.68%,0.11%,$14,1 g,Bridge City - SE
Mana Extracts | Chocolope Shatter,Mana Extracts,75.01%,0.23%,$20,1 g,Bridge City - SE
Oregon Genetics | Blue City Diesel Live Re...,Unknown Brand,76.73%,0.14%,$24,1 g,Bridge City - SE
Mana Extracts | SFV OG Shatter,Mana Extracts,71.91%,0.21%,$14,1 g,Bridge City - SE
Oregon Genetics | Alien OG Live Resin,OG Cannabis ,60.43%,0.25%,$24,1 g,Bridge City - SE
FECO (RSO) | CBD,Siskiyou Sungrown,2.83%,59.73%,$40,1 g,Bridge City - SE
FECO (RSO) | Farmer's Friend Extracts: Gor...,Farmer's Friend Extracts   |   FFEPDX  ,71%,0.23%,$20,1 g,Bridge City - SE
FECO (RSO) | Farmer's Friend Extracts: Jae...,Farmer's Friend Extracts   |   FFEPDX  ,73.3%,0.15%,$20,1 g,Bridge City - SE
FECO (RSO) | Farmer's Friend Extracts: Men...,Farmer's Friend Extracts   |   FFEPDX  ,77%,0.34%,$20,1 g,Bridge City - SE
FECO (RSO) 1:1 THC : CBD,GENESIS PHARMS,303.3%,335.2%,$40,1 g,Bridge City - SE
FECO (RSO) High CBD,GENESIS PHARMS,0%,0%,$35,1 g,Bridge City - SE
Cartridge | Golden Goose: Strawberry Cough...,Unknown Brand,23.5%,53.09%,$46,1 g,Bridge City - SE
Dr Jolly's | Cicero Haze Keif,Unknown Brand,0%,0%,$12,1 g,Bridge City - SE
Cartridge | Farmer Friend Extracts: Astral...,Farmer's Friend Extracts   |   FFEPDX  ,77.4%,0.14%,$15,½ g,Bridge City - SE
Cartridge | Farmer Friend Extracts: Blue Z...,Farmer's Friend Extracts   |   FFEPDX  ,81.9%,0.25%,$23,1 g,Bridge City - SE
